,train_r2,test_r2,test_rmse,test_mae
CatBoost,0.9938501001981672,0.7846356110993724,4683.516385578431,2501.1243082139763
XGBoost,0.981418877581498,0.7734070090767771,4801.284991917673,2660.7710742790055
LightGBM,0.9836558935870336,0.7571148417813827,4976.893359872219,2987.503280770567
RandomForest,0.9265644015627268,0.8128390448266304,4358.703975042552,2386.253417492894
